Timestamp,SCT Version,Filename,Slice (I->S),VertLevel,MEAN(area),STD(area),MEAN(angle_AP),STD(angle_AP),MEAN(angle_RL),STD(angle_RL),MEAN(diameter_AP),STD(diameter_AP),MEAN(diameter_RL),STD(diameter_RL),MEAN(eccentricity),STD(eccentricity),MEAN(orientation),STD(orientation),MEAN(solidity),STD(solidity),SUM(length)
2021-06-09 23:20:52,git-jca/3413-run-batch-session-c41958db922273a66764ef88239587f91af3adad,/Users/julien/temp/neuromod/data_processed/sub-01/ses-003/anat/sub-01_ses-003_bp-cspine_T2w_seg.nii.gz,161:203,2:3,80.77416179502649,3.2467133365538747,-3.7600679701997395,0.9499570161421126,2.805769447448624,1.069873155722539,8.59951772651972,0.17429029671809015,11.942164559607434,0.38618885701177286,0.6920554200806704,0.028034463658992925,4.826951956150011,2.1249763788455174,0.9731481354911069,0.006614666922584582,34.52639184668102
2021-06-09 23:20:54,git-jca/3413-run-batch-session-c41958db922273a66764ef88239587f91af3adad,/Users/julien/temp/neuromod/data_processed/sub-01/ses-001/anat/sub-01_ses-001_bp-cspine_T2w_seg.nii.gz,160:201,2:3,80.31287669419582,1.6027977219404947,-3.9584543229345908,0.3305079807447748,2.1462476060662774,1.547337141714536,8.588306094862464,0.14883100735625504,11.899994066574811,0.34893633770319327,0.6897864552956816,0.0323088022870678,3.3422234451470505,1.8952989982762698,0.9735351403245748,0.009511416172494886,33.71688911718037
2021-06-09 23:20:55,git-jca/3413-run-batch-session-c41958db922273a66764ef88239587f91af3adad,/Users/julien/temp/neuromod/data_processed/sub-06/ses-001/anat/sub-06_ses-001_bp-cspine_T2w_seg.nii.gz,158:194,2:3,72.95826654799964,2.394267409986297,-0.23000021502279794,0.08723531693394017,13.564354616438346,2.9432123899419156,7.565961173939572,0.20609251892110275,12.298751781746718,0.4557638887340267,0.7864368901778845,0.025627842920414787,0.9722685885651916,0.8134033700100627,0.9723727971407994,0.010027847655235164,30.49472663772754
2021-06-09 23:21:00,git-jca/3413-run-batch-session-c41958db922273a66764ef88239587f91af3adad,/Users/julien/temp/neuromod/data_processed/sub-06/ses-004/anat/sub-06_ses-004_bp-cspine_T2w_seg.nii.gz,167:203,2:3,72.12924398136843,2.5135615123270667,-2.1454139832601533,0.2885214582819022,13.996957323934437,2.416824023943782,7.458338068065783,0.1800083781033595,12.327044809492433,0.4172965522017401,0.7949668454446648,0.019852887874931124,1.7831561736280577,0.9204097651007294,0.9694914708281027,0.009871682764971492,30.55826981275402
2021-06-09 23:21:02,git-jca/3413-run-batch-session-c41958db922273a66764ef88239587f91af3adad,/Users/julien/temp/neuromod/data_processed/sub-01/ses-002/anat/sub-01_ses-002_bp-cspine_T2w_seg.nii.gz,162:203,2:3,80.7684228622334,1.9678696229068386,-5.0744028018703276,0.5573111264875208,6.360579509821305,1.271816674270051,8.582343691515673,0.18038414345097353,11.935064110735278,0.35220330057294097,0.6926296691989142,0.03175865727665043,2.7256788802352494,1.9803380234533245,0.9742964167480915,0.0077686938770753985,33.95129192738641
2021-06-09 23:21:05,git-jca/3413-run-batch-session-c41958db922273a66764ef88239587f91af3adad,/Users/julien/temp/neuromod/data_processed/sub-05/ses-001/anat/sub-05_ses-001_bp-cspine_T2w_seg.nii.gz,159:196,2:3,70.77995321551784,4.773097641866144,-1.8998602019894122,1.1919694959018512,13.6669597141526,3.0260195420953155,7.452694732402675,0.773254973900382,12.19036818126348,0.5654300805148151,0.7797498620608462,0.07112807843668384,3.074996636444943,1.9545914326373717,0.9564685192193669,0.019386408063165852,31.359579463496875
2021-06-09 23:21:05,git-jca/3413-run-batch-session-c41958db922273a66764ef88239587f91af3adad,/Users/julien/temp/neuromod/data_processed/sub-06/ses-003/anat/sub-06_ses-003_bp-cspine_T2w_seg.nii.gz,166:201,2:3,73.89480466120321,2.2278820581482246,0.5471777663632511,0.31629393702205727,15.695016801783616,2.924739721471881,7.569823513645105,0.17419875502168602,12.449793743091261,0.4701668024351704,0.792111843975666,0.02350693559238994,1.6040209717867593,1.0840220947581112,0.9677810540543709,0.010371271824517815,29.962644037951353
2021-06-09 23:21:12,git-jca/3413-run-batch-session-c41958db922273a66764ef88239587f91af3adad,/Users/julien/temp/neuromod/data_processed/sub-06/ses-002/anat/sub-06_ses-002_bp-cspine_T2w_seg.nii.gz,164:200,2:3,73.12988138337275,1.9904729770815155,-0.9599232843254365,0.23459008365206394,15.993099625104332,3.750994719833075,7.522650763063116,0.2239151411292941,12.384760953392883,0.4450332540727788,0.7922610661234928,0.026887496960464583,1.6407863304314836,1.1495299369133873,0.9701938307910144,0.011048834755757957,30.874411308283054
2021-06-09 23:38:23,git-jca/3413-run-batch-session-c41958db922273a66764ef88239587f91af3adad,/Users/julien/temp/neuromod/data_processed/sub-02/ses-001/anat/sub-02_ses-001_bp-cspine_T2w_seg.nii.gz,157:193,2:3,92.72412473358578,7.198446418756614,-0.5335915782748561,0.595214174646889,-16.531249789565624,6.9512486503451,8.778401001405253,0.5009418435950875,13.469830989154392,0.9033646152757913,0.7497619890110501,0.0616519771262295,3.007144058165342,1.3408418270893643,0.9702521071238353,0.010245355929771188,31.1420095773319
2021-06-09 23:38:25,git-jca/3413-run-batch-session-c41958db922273a66764ef88239587f91af3adad,/Users/julien/temp/neuromod/data_processed/sub-03/ses-001/anat/sub-03_ses-001_bp-cspine_T2w_seg.nii.gz,141:177,2:3,73.61777268131331,1.2832753146665012,-0.1765591140429531,0.4412123933783813,8.771364742479596,1.753377056455848,8.049736168344822,0.16203920504884248,11.618506415709449,0.24962584095243448,0.7196377860384754,0.026723206980813333,1.350990863669334,0.866046661999493,0.9704325351511921,0.008960307547510633,29.966023853300975
